Generating contour dataset: liber-responsories
Contours of responsories from the Liber Usualis in GregoBaseCorpus v0.3
NumExpr defaulting to 4 threads.
Number of chants in the liber usualis: 2156
Number of responsories: 501
Number of responsories in the Liber Usualis: 187
Extracted 02 contours from 03158.gabc
Extracted 03 contours from 03159.gabc
Extracted 01 contours from 03160.gabc
Extracted 02 contours from 03161.gabc
Extracted 01 contours from 03162.gabc
Extracted 16 contours from 03163.gabc
Extracted 17 contours from 03164.gabc
Extracted 03 contours from 03165.gabc
Extracted 02 contours from 03166.gabc
Extracted 03 contours from 03167.gabc
Extracted 03 contours from 03168.gabc
Extracted 19 contours from 03169.gabc
Extracted 13 contours from 03170.gabc
Extracted 19 contours from 03171.gabc
Extracted 02 contours from 03172.gabc
Extracted 04 contours from 03173.gabc
Extracted 02 contours from 03174.gabc
Extracted 03 contours from 03175.gabc
Extracted 02 contours from 03176.gabc
Extracted 49 contours from 03177.gabc
Extracted 23 contours from 03178.gabc
Extracted 02 contours from 03179.gabc
Extracted 01 contours from 03181.gabc
Extracted 02 contours from 03182.gabc
Extracted 11 contours from 03183.gabc
Extracted 14 contours from 03184.gabc
Extracted 14 contours from 03185.gabc
Extracted 03 contours from 03186.gabc
Extracted 02 contours from 03187.gabc
Extracted 02 contours from 03188.gabc
Extracted 15 contours from 03189.gabc
Extracted 13 contours from 03190.gabc
Extracted 01 contours from 03191.gabc
Extracted 18 contours from 03192.gabc
Extracted 02 contours from 03193.gabc
Extracted 03 contours from 03194.gabc
Extracted 17 contours from 03195.gabc
Extracted 01 contours from 03196.gabc
Extracted 16 contours from 03197.gabc
Extracted 02 contours from 03198.gabc
Extracted 01 contours from 03199.gabc
Extracted 14 contours from 03200.gabc
Extracted 02 contours from 03201.gabc
Extracted 02 contours from 03202.gabc
Extracted 02 contours from 03203.gabc
Extracted 17 contours from 03205.gabc
Extracted 01 contours from 03206.gabc
Extracted 14 contours from 03207.gabc
Extracted 02 contours from 03208.gabc
Extracted 02 contours from 03210.gabc
Extracted 18 contours from 03211.gabc
Extracted 01 contours from 03212.gabc
Extracted 02 contours from 03213.gabc
Extracted 18 contours from 03214.gabc
Extracted 18 contours from 03215.gabc
Extracted 03 contours from 03216.gabc
Extracted 02 contours from 03217.gabc
Extracted 03 contours from 03218.gabc
Extracted 25 contours from 03219.gabc
Extracted 03 contours from 03220.gabc
Extracted 23 contours from 03221.gabc
Extracted 02 contours from 03222.gabc
Extracted 09 contours from 03223.gabc
Extracted 02 contours from 03224.gabc
Extracted 02 contours from 03225.gabc
Extracted 10 contours from 03325.gabc
Extracted 06 contours from 08235.gabc
Extracted 23 contours from 08749.gabc
Skipping 08754: File not found or no such format found for: /Users/bas/repos/papers/ISMIR2021/datasets/gregobase/gabc/08754.gabc
Skipping 08755: File not found or no such format found for: /Users/bas/repos/papers/ISMIR2021/datasets/gregobase/gabc/08755.gabc
Extracted 00 contours from 08757.gabc
Extracted 45 contours from 09174.gabc
Mean length of random phrases: 12.90...
Stored random contours to data/phrase-contours/liber-responsories-random-contours.csv
md5 checksum: d6b48b216725ac9c9786854d64e4ef37
