Generating contour dataset: liber-alleluias
Contours of alleluias from the Liber Usualis in GregoBaseCorpus v0.3
NumExpr defaulting to 4 threads.
Number of chants in the liber usualis: 2156
Number of alleluias: 706
Number of alleluias in the Liber Usualis: 125
Extracted 09 contours from 00467.gabc
Extracted 13 contours from 00473.gabc
Extracted 07 contours from 00476.gabc
Extracted 15 contours from 00481.gabc
Extracted 07 contours from 00528.gabc
Extracted 13 contours from 00550.gabc
Extracted 09 contours from 00561.gabc
Extracted 08 contours from 00569.gabc
Extracted 11 contours from 00580.gabc
Extracted 09 contours from 00594.gabc
Extracted 08 contours from 00595.gabc
Extracted 06 contours from 00627.gabc
Extracted 10 contours from 00633.gabc
Extracted 12 contours from 00634.gabc
Extracted 10 contours from 00642.gabc
Extracted 07 contours from 00661.gabc
Extracted 05 contours from 00664.gabc
Extracted 10 contours from 00706.gabc
Extracted 13 contours from 00709.gabc
Extracted 09 contours from 00714.gabc
Extracted 10 contours from 00717.gabc
Extracted 16 contours from 00727.gabc
Extracted 08 contours from 00734.gabc
Extracted 13 contours from 00745.gabc
Extracted 12 contours from 00746.gabc
Extracted 12 contours from 00762.gabc
Extracted 09 contours from 00784.gabc
Extracted 16 contours from 00792.gabc
Extracted 13 contours from 00797.gabc
Extracted 13 contours from 00801.gabc
Extracted 14 contours from 00814.gabc
Extracted 08 contours from 00821.gabc
Extracted 09 contours from 00847.gabc
Extracted 10 contours from 00853.gabc
Extracted 09 contours from 00855.gabc
Extracted 12 contours from 00859.gabc
Extracted 13 contours from 00863.gabc
Extracted 12 contours from 00881.gabc
Extracted 09 contours from 00890.gabc
Extracted 09 contours from 00912.gabc
Extracted 10 contours from 00914.gabc
Extracted 06 contours from 00960.gabc
Extracted 12 contours from 00984.gabc
Extracted 13 contours from 00988.gabc
Extracted 09 contours from 01015.gabc
Extracted 10 contours from 01017.gabc
Extracted 15 contours from 01030.gabc
Extracted 09 contours from 01038.gabc
Extracted 16 contours from 01040.gabc
Extracted 06 contours from 01042.gabc
Extracted 11 contours from 01057.gabc
Extracted 08 contours from 01073.gabc
Extracted 12 contours from 01076.gabc
Extracted 13 contours from 01077.gabc
Extracted 17 contours from 01094.gabc
Extracted 14 contours from 01097.gabc
Extracted 08 contours from 01101.gabc
Extracted 10 contours from 01103.gabc
Extracted 12 contours from 01114.gabc
Extracted 10 contours from 01115.gabc
Extracted 11 contours from 01122.gabc
Extracted 11 contours from 01124.gabc
Extracted 09 contours from 01162.gabc
Extracted 09 contours from 01170.gabc
Extracted 15 contours from 01189.gabc
Extracted 08 contours from 01192.gabc
Extracted 11 contours from 01200.gabc
Extracted 10 contours from 01209.gabc
Extracted 11 contours from 01220.gabc
Extracted 07 contours from 01236.gabc
Extracted 14 contours from 01237.gabc
Extracted 11 contours from 01246.gabc
Extracted 13 contours from 01249.gabc
Extracted 29 contours from 01257.gabc
Extracted 10 contours from 01258.gabc
Extracted 09 contours from 01264.gabc
Extracted 07 contours from 01289.gabc
Extracted 04 contours from 01307.gabc
Extracted 08 contours from 01324.gabc
Extracted 09 contours from 01326.gabc
Extracted 14 contours from 01348.gabc
Extracted 09 contours from 01350.gabc
Extracted 13 contours from 01352.gabc
Extracted 14 contours from 08252.gabc
Mean length of random phrases: 15.55...
Stored random contours to data/phrase-contours/liber-alleluias-random-contours.csv
md5 checksum: 7a51e8b0df03ff7f6488b26ad4e571d5
