Generating contour dataset: liber-antiphons
Contours of antiphons from the Liber Usualis in GregoBaseCorpus v0.3
NumExpr defaulting to 4 threads.
Number of chants in the liber usualis: 2156
Number of antiphons: 3818
Number of antiphons in the Liber Usualis: 1036
Extracted 04 contours from 01974.gabc
Extracted 05 contours from 01975.gabc
Extracted 14 contours from 01976.gabc
Extracted 07 contours from 01977.gabc
Extracted 08 contours from 01979.gabc
Extracted 05 contours from 01980.gabc
Extracted 04 contours from 01981.gabc
Extracted 04 contours from 01982.gabc
Extracted 09 contours from 01983.gabc
Extracted 03 contours from 01984.gabc
Extracted 12 contours from 01985.gabc
Extracted 07 contours from 01987.gabc
Extracted 02 contours from 01989.gabc
Extracted 04 contours from 01990.gabc
Extracted 14 contours from 01991.gabc
Extracted 04 contours from 01992.gabc
Extracted 06 contours from 01993.gabc
Extracted 03 contours from 01994.gabc
Extracted 05 contours from 01995.gabc
Extracted 03 contours from 01996.gabc
Extracted 04 contours from 01997.gabc
Extracted 04 contours from 01998.gabc
Extracted 07 contours from 01999.gabc
Extracted 05 contours from 02000.gabc
Extracted 04 contours from 02001.gabc
Extracted 04 contours from 02002.gabc
Extracted 03 contours from 02004.gabc
Extracted 05 contours from 02005.gabc
Extracted 06 contours from 02007.gabc
Extracted 06 contours from 02008.gabc
Extracted 05 contours from 02009.gabc
Extracted 06 contours from 02010.gabc
Extracted 02 contours from 02011.gabc
Extracted 04 contours from 02012.gabc
Extracted 03 contours from 02013.gabc
Extracted 03 contours from 02015.gabc
Extracted 04 contours from 02016.gabc
Extracted 03 contours from 02017.gabc
Extracted 04 contours from 02019.gabc
Extracted 02 contours from 02020.gabc
Extracted 02 contours from 02022.gabc
Extracted 06 contours from 02023.gabc
Extracted 02 contours from 02025.gabc
Extracted 04 contours from 02027.gabc
Extracted 05 contours from 02029.gabc
Extracted 04 contours from 02030.gabc
Extracted 03 contours from 02031.gabc
Extracted 02 contours from 02032.gabc
Extracted 02 contours from 02033.gabc
Extracted 04 contours from 02034.gabc
Extracted 02 contours from 02035.gabc
Extracted 03 contours from 02036.gabc
Extracted 02 contours from 02037.gabc
Extracted 04 contours from 02038.gabc
Extracted 05 contours from 02039.gabc
Extracted 01 contours from 02040.gabc
Extracted 02 contours from 02041.gabc
Extracted 05 contours from 02042.gabc
Extracted 04 contours from 02043.gabc
Extracted 04 contours from 02045.gabc
Extracted 03 contours from 02046.gabc
Extracted 07 contours from 02047.gabc
Extracted 04 contours from 02048.gabc
Extracted 03 contours from 02049.gabc
Extracted 04 contours from 02050.gabc
Extracted 03 contours from 02051.gabc
Extracted 05 contours from 02052.gabc
Extracted 05 contours from 02053.gabc
Extracted 04 contours from 02054.gabc
Extracted 02 contours from 02055.gabc
Extracted 05 contours from 02056.gabc
Extracted 04 contours from 02057.gabc
Extracted 05 contours from 02058.gabc
Extracted 06 contours from 02059.gabc
Extracted 06 contours from 02061.gabc
Extracted 05 contours from 02062.gabc
Extracted 07 contours from 02063.gabc
Extracted 08 contours from 02064.gabc
Extracted 03 contours from 02065.gabc
Extracted 04 contours from 02066.gabc
Extracted 03 contours from 02069.gabc
Extracted 05 contours from 02071.gabc
Extracted 02 contours from 02072.gabc
Extracted 09 contours from 02073.gabc
Extracted 04 contours from 02074.gabc
Extracted 04 contours from 02078.gabc
Extracted 04 contours from 02079.gabc
Extracted 07 contours from 02080.gabc
Extracted 02 contours from 02081.gabc
Extracted 08 contours from 02082.gabc
Extracted 03 contours from 02083.gabc
Extracted 05 contours from 02087.gabc
Extracted 04 contours from 02088.gabc
Extracted 02 contours from 02090.gabc
Extracted 06 contours from 02093.gabc
Extracted 02 contours from 02094.gabc
Extracted 02 contours from 02096.gabc
Extracted 04 contours from 02097.gabc
Extracted 05 contours from 02098.gabc
Extracted 04 contours from 02099.gabc
Extracted 08 contours from 02100.gabc
Extracted 12 contours from 02101.gabc
Extracted 03 contours from 02102.gabc
Extracted 02 contours from 02103.gabc
Extracted 04 contours from 02104.gabc
Extracted 04 contours from 02105.gabc
Extracted 08 contours from 02106.gabc
Extracted 02 contours from 02108.gabc
Extracted 04 contours from 02109.gabc
Extracted 05 contours from 02110.gabc
Extracted 09 contours from 02112.gabc
Extracted 03 contours from 02113.gabc
Extracted 04 contours from 02115.gabc
Skipping 02116: 
Extracted 02 contours from 02117.gabc
Extracted 04 contours from 02119.gabc
Extracted 04 contours from 02121.gabc
Extracted 04 contours from 02122.gabc
Extracted 04 contours from 02123.gabc
Extracted 02 contours from 02124.gabc
Extracted 02 contours from 02125.gabc
Extracted 03 contours from 02127.gabc
Extracted 10 contours from 02128.gabc
Extracted 04 contours from 02130.gabc
Extracted 05 contours from 02131.gabc
Extracted 04 contours from 02132.gabc
Extracted 07 contours from 02133.gabc
Extracted 04 contours from 02136.gabc
Extracted 04 contours from 02137.gabc
Extracted 04 contours from 02138.gabc
Extracted 06 contours from 02139.gabc
Extracted 05 contours from 02140.gabc
Extracted 04 contours from 02141.gabc
Extracted 03 contours from 02142.gabc
Extracted 05 contours from 02144.gabc
Extracted 05 contours from 02145.gabc
Extracted 07 contours from 02146.gabc
Extracted 04 contours from 02147.gabc
Extracted 04 contours from 02148.gabc
Extracted 04 contours from 02149.gabc
Extracted 05 contours from 02150.gabc
Extracted 03 contours from 02151.gabc
Extracted 08 contours from 02152.gabc
Extracted 08 contours from 02153.gabc
Extracted 05 contours from 02154.gabc
Extracted 05 contours from 02155.gabc
Extracted 07 contours from 02156.gabc
Extracted 02 contours from 02157.gabc
Extracted 04 contours from 02158.gabc
Extracted 08 contours from 02159.gabc
Extracted 04 contours from 02160.gabc
Extracted 05 contours from 02161.gabc
Extracted 07 contours from 02162.gabc
Extracted 05 contours from 02164.gabc
Extracted 04 contours from 02165.gabc
Extracted 03 contours from 02167.gabc
Extracted 03 contours from 02168.gabc
Extracted 07 contours from 02169.gabc
Extracted 05 contours from 02170.gabc
Extracted 05 contours from 02171.gabc
Extracted 15 contours from 02172.gabc
Extracted 04 contours from 02173.gabc
Extracted 06 contours from 02174.gabc
Extracted 10 contours from 02175.gabc
Extracted 05 contours from 02177.gabc
Extracted 04 contours from 02178.gabc
Extracted 05 contours from 02179.gabc
Extracted 04 contours from 02180.gabc
Extracted 06 contours from 02181.gabc
Extracted 05 contours from 02182.gabc
Extracted 07 contours from 02183.gabc
Extracted 04 contours from 02184.gabc
Extracted 04 contours from 02185.gabc
Extracted 05 contours from 02186.gabc
Extracted 02 contours from 02187.gabc
Extracted 06 contours from 02188.gabc
Extracted 04 contours from 02189.gabc
Extracted 05 contours from 02190.gabc
Extracted 07 contours from 02192.gabc
Extracted 04 contours from 02193.gabc
Extracted 04 contours from 02195.gabc
Extracted 04 contours from 02196.gabc
Extracted 02 contours from 02197.gabc
Extracted 04 contours from 02198.gabc
Extracted 10 contours from 02199.gabc
Extracted 07 contours from 02201.gabc
Extracted 03 contours from 02202.gabc
Extracted 07 contours from 02203.gabc
Extracted 08 contours from 02204.gabc
Extracted 03 contours from 02205.gabc
Extracted 07 contours from 02206.gabc
Extracted 04 contours from 02207.gabc
Extracted 04 contours from 02210.gabc
Extracted 05 contours from 02211.gabc
Extracted 04 contours from 02212.gabc
Extracted 03 contours from 02213.gabc
Extracted 04 contours from 02214.gabc
Extracted 04 contours from 02215.gabc
Extracted 06 contours from 02216.gabc
Extracted 06 contours from 02217.gabc
Extracted 06 contours from 02218.gabc
Extracted 06 contours from 02219.gabc
Extracted 06 contours from 02220.gabc
Extracted 08 contours from 02221.gabc
Extracted 02 contours from 02222.gabc
Extracted 05 contours from 02223.gabc
Extracted 04 contours from 02225.gabc
Extracted 02 contours from 02226.gabc
Extracted 04 contours from 02228.gabc
Extracted 03 contours from 02229.gabc
Extracted 09 contours from 02230.gabc
Extracted 07 contours from 02233.gabc
Extracted 07 contours from 02234.gabc
Extracted 15 contours from 02238.gabc
Extracted 04 contours from 02240.gabc
Extracted 03 contours from 02241.gabc
Extracted 03 contours from 02243.gabc
Extracted 05 contours from 02244.gabc
Extracted 04 contours from 02245.gabc
Extracted 03 contours from 02246.gabc
Extracted 04 contours from 02247.gabc
Extracted 04 contours from 02248.gabc
Extracted 13 contours from 02249.gabc
Extracted 02 contours from 02250.gabc
Extracted 05 contours from 02251.gabc
Extracted 04 contours from 02252.gabc
Extracted 03 contours from 02253.gabc
Extracted 05 contours from 02255.gabc
Extracted 04 contours from 02256.gabc
Extracted 05 contours from 02257.gabc
Extracted 02 contours from 02258.gabc
Extracted 03 contours from 02259.gabc
Extracted 07 contours from 02260.gabc
Extracted 04 contours from 02262.gabc
Extracted 03 contours from 02263.gabc
Extracted 03 contours from 02264.gabc
Extracted 07 contours from 02265.gabc
Extracted 02 contours from 02266.gabc
Extracted 07 contours from 02267.gabc
Extracted 04 contours from 02268.gabc
Extracted 04 contours from 02270.gabc
Skipping 02271: 
Extracted 05 contours from 02272.gabc
Extracted 03 contours from 02273.gabc
Extracted 07 contours from 02275.gabc
Extracted 05 contours from 02276.gabc
Extracted 04 contours from 02277.gabc
Extracted 02 contours from 02278.gabc
Extracted 05 contours from 02279.gabc
Extracted 04 contours from 02280.gabc
Extracted 03 contours from 02281.gabc
Extracted 06 contours from 02282.gabc
Extracted 04 contours from 02283.gabc
Extracted 05 contours from 02284.gabc
Extracted 03 contours from 02285.gabc
Extracted 03 contours from 02286.gabc
Extracted 03 contours from 02287.gabc
Extracted 04 contours from 02288.gabc
Extracted 04 contours from 02289.gabc
Extracted 04 contours from 02290.gabc
Extracted 04 contours from 02291.gabc
Extracted 02 contours from 02292.gabc
Extracted 02 contours from 02293.gabc
Extracted 06 contours from 02296.gabc
Extracted 03 contours from 02297.gabc
Extracted 09 contours from 02299.gabc
Extracted 03 contours from 02300.gabc
Extracted 04 contours from 02301.gabc
Extracted 04 contours from 02302.gabc
Extracted 04 contours from 02303.gabc
Extracted 07 contours from 02304.gabc
Extracted 06 contours from 02306.gabc
Extracted 05 contours from 02307.gabc
Extracted 03 contours from 02308.gabc
Extracted 06 contours from 02311.gabc
Extracted 05 contours from 02312.gabc
Extracted 03 contours from 02313.gabc
Extracted 05 contours from 02314.gabc
Extracted 08 contours from 02315.gabc
Extracted 01 contours from 02316.gabc
Extracted 05 contours from 02317.gabc
Extracted 04 contours from 02318.gabc
Extracted 06 contours from 02319.gabc
Extracted 17 contours from 02321.gabc
Extracted 04 contours from 02322.gabc
Extracted 02 contours from 02323.gabc
Extracted 03 contours from 02324.gabc
Extracted 06 contours from 02325.gabc
Extracted 03 contours from 02326.gabc
Extracted 08 contours from 02327.gabc
Extracted 05 contours from 02328.gabc
Extracted 05 contours from 02329.gabc
Extracted 05 contours from 02330.gabc
Extracted 02 contours from 02331.gabc
Extracted 02 contours from 02332.gabc
Extracted 04 contours from 02333.gabc
Extracted 04 contours from 02336.gabc
Extracted 02 contours from 02337.gabc
Extracted 04 contours from 02338.gabc
Extracted 04 contours from 02339.gabc
Extracted 06 contours from 02340.gabc
Extracted 06 contours from 02341.gabc
Extracted 05 contours from 02342.gabc
Extracted 05 contours from 02343.gabc
Extracted 05 contours from 02344.gabc
Extracted 04 contours from 02345.gabc
Extracted 04 contours from 02346.gabc
Extracted 03 contours from 02347.gabc
Extracted 03 contours from 02349.gabc
Extracted 04 contours from 02350.gabc
Extracted 04 contours from 02352.gabc
Extracted 07 contours from 02353.gabc
Extracted 04 contours from 02354.gabc
Extracted 06 contours from 02356.gabc
Extracted 08 contours from 02357.gabc
Extracted 02 contours from 02358.gabc
Extracted 03 contours from 02359.gabc
Extracted 02 contours from 02360.gabc
Extracted 05 contours from 02361.gabc
Extracted 04 contours from 02362.gabc
Extracted 05 contours from 02364.gabc
Extracted 04 contours from 02365.gabc
Extracted 05 contours from 02366.gabc
Extracted 04 contours from 02367.gabc
Extracted 08 contours from 02368.gabc
Extracted 11 contours from 02369.gabc
Extracted 04 contours from 02370.gabc
Extracted 07 contours from 02371.gabc
Extracted 02 contours from 02372.gabc
Extracted 05 contours from 02373.gabc
Extracted 02 contours from 02374.gabc
Extracted 04 contours from 02375.gabc
Extracted 04 contours from 02376.gabc
Extracted 07 contours from 02378.gabc
Extracted 04 contours from 02379.gabc
Extracted 06 contours from 02380.gabc
