id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__dual,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,split3_train_precision_weighted,split4_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,split3_train_recall_weighted,split4_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
1,0.40612106323242186,0.011975800863703196,0.05374293327331543,0.004464292682859863,44.98235684332773,False,"{'clf__C': 44.98235684332773, 'clf__dual': False}",0.6385786802030456,0.6280487804878049,0.6463414634146342,0.6463414634146342,0.6829268292682927,0.6484474433576823,0.01849970966742491,1,0.9463922764227642,0.9469138938277877,0.9392938785877571,0.9451358902717806,0.9377698755397511,0.943101162929968,0.0038059558477918157,0.6370954844305339,0.629106686091701,0.647349399318253,0.6423553674398451,0.6807236615944923,0.647326119774965,0.017757918704571704,1,0.9465487013725434,0.9469990117344415,0.9393250283859121,0.9451810420421932,0.9378465935229373,0.9431800754116054,0.0038273541666891814,0.6385786802030456,0.6280487804878049,0.6463414634146342,0.6463414634146342,0.6829268292682927,0.6484474433576823,0.01849970966742491,1,0.9463922764227642,0.9469138938277877,0.9392938785877571,0.9451358902717806,0.9377698755397511,0.943101162929968,0.0038059558477918157,0.6368443960257869,0.6271306145692422,0.6464149129302266,0.6426388009465885,0.6804785866574842,0.6467014622258657,0.018097852326226484,1,0.9464027928937674,0.9469377466052996,0.9392921566978858,0.9451218939675106,0.9377547050018071,0.9431018590332542,0.003815668409927759
2,0.545141077041626,0.030888963980612357,0.05073981285095215,0.008285915470978001,118.72372227973028,False,"{'clf__C': 118.72372227973028, 'clf__dual': False}",0.6233502538071066,0.6280487804878049,0.6351626016260162,0.6310975609756098,0.6717479674796748,0.6378814328752425,0.017367736441505664,2,0.9527439024390244,0.9555499110998222,0.9469138938277877,0.951231902463805,0.9474218948437897,0.9507723009348459,0.0032568859766338026,0.6226821838456288,0.631178456511695,0.636778393883185,0.6286518958246246,0.6715464198512011,0.6381674699832669,0.017293180010263275,3,0.9528579745562998,0.9556293293125069,0.9469180527409107,0.9512816519147723,0.9474164206295739,0.9508206858308126,0.003295622970254997,0.6233502538071066,0.6280487804878049,0.6351626016260162,0.6310975609756098,0.6717479674796748,0.6378814328752425,0.017367736441505664,2,0.9527439024390244,0.9555499110998222,0.9469138938277877,0.951231902463805,0.9474218948437897,0.9507723009348459,0.0032568859766338026,0.622004933886339,0.627908178049089,0.635653687412807,0.6282792322645435,0.6704919587200634,0.6368675980665685,0.017360882634041917,2,0.9527639417620837,0.9555746878509166,0.9468998354225859,0.9512449911743885,0.9474087234570254,0.9507784359334,0.003272993850921017
0,0.20560069084167482,0.007927642161412667,0.04396219253540039,0.0030872617834007882,0.01827628080528048,True,"{'clf__C': 0.01827628080528048, 'clf__dual': True}",0.6182741116751269,0.6280487804878049,0.6280487804878049,0.6422764227642277,0.6717479674796748,0.6376792125789278,0.018675453341673674,3,0.688770325203252,0.6931673863347727,0.6893573787147574,0.6875793751587503,0.6758953517907036,0.6869539634404471,0.0058372293176665825,0.6386801167526115,0.6076077899804373,0.661530577882127,0.6381980931261387,0.6859997294571968,0.6464032614397023,0.026186929330748225,2,0.692889351449722,0.7303623061324562,0.7001229457787755,0.6993558719199919,0.6924432551403029,0.7030347460842498,0.014027950292396585,0.6182741116751269,0.6280487804878049,0.6280487804878049,0.6422764227642277,0.6717479674796748,0.6376792125789278,0.018675453341673674,3,0.688770325203252,0.6931673863347727,0.6893573787147574,0.6875793751587503,0.6758953517907036,0.6869539634404471,0.0058372293176665825,0.579082058371966,0.5842679721813698,0.5786913004369836,0.6009579275506998,0.6346519298402875,0.5955302376762613,0.021170251056621486,3,0.6549556322666035,0.6628988616446689,0.6577768833622751,0.6541547781437247,0.639913625174478,0.65393995611835,0.007652446735422865
3,0.21186718940734864,0.011478248391331486,0.05031461715698242,0.004837842108958898,0.0054478619291253964,True,"{'clf__C': 0.0054478619291253964, 'clf__dual': True}",0.5776649746192893,0.573170731707317,0.5884146341463414,0.5914634146341463,0.6117886178861789,0.5885004745986546,0.01344271607179721,4,0.6239837398373984,0.6230632461264922,0.6141732283464567,0.6225552451104902,0.6098552197104394,0.6187261358262554,0.0056663413744403165,0.5651003796198227,0.5166800966340197,0.594091487735699,0.5878943264483872,0.5755910283876908,0.567871463765124,0.027481744271804043,4,0.6062096918179712,0.6093744687792012,0.6065333340538728,0.6071526967485462,0.6029697196135552,0.6064479822026294,0.002060258438088111,0.5776649746192893,0.573170731707317,0.5884146341463414,0.5914634146341463,0.6117886178861789,0.5885004745986546,0.01344271607179721,4,0.6239837398373984,0.6230632461264922,0.6141732283464567,0.6225552451104902,0.6098552197104394,0.6187261358262554,0.0056663413744403165,0.5223614434163982,0.5154001528305155,0.5309830859178197,0.5302991528130847,0.5508166328287433,0.5299720935613124,0.01188181251207653,4,0.5700556368278095,0.5704227180236008,0.5562987364800486,0.5682669473783942,0.5542032928365929,0.5638494663092892,0.007089435989133215
4,0.18794941902160645,0.005774238757403088,0.0457606315612793,0.0019202563017979095,0.0012287561432607764,True,"{'clf__C': 0.0012287561432607764, 'clf__dual': True}",0.3756345177664975,0.35060975609756095,0.38414634146341464,0.38414634146341464,0.36585365853658536,0.37207812306549465,0.01267727472929909,5,0.3988821138211382,0.39293878587757175,0.381254762509525,0.39446278892557785,0.39598679197358394,0.39270504862147937,0.006052756562708788,0.4768013832374047,0.4624744529510254,0.39289135200985964,0.3757438073910028,0.3876204168038601,0.4191062824786306,0.04187698514502952,5,0.3893545559820518,0.4984121859808704,0.48953903996435627,0.4994102310178698,0.49841075813953106,0.4750253542169359,0.04298505781629546,0.3756345177664975,0.35060975609756095,0.38414634146341464,0.38414634146341464,0.36585365853658536,0.37207812306549465,0.01267727472929909,5,0.3988821138211382,0.39293878587757175,0.381254762509525,0.39446278892557785,0.39598679197358394,0.39270504862147937,0.006052756562708788,0.29962528878549693,0.2795720809802465,0.309005397226136,0.3047981208900893,0.28580805748009025,0.29576178907241185,0.01125307513885047,5,0.3244046458170152,0.3171154401423356,0.30272614928301733,0.31896732422116114,0.323551767326732,0.31735306535805224,0.00780714626931157
