,duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
ojibwa19,55.0,66.0,66.0,66.0,66.0,66.0,66.0,64.0,62.0,66.0,64.0,64.0,62.0,59.0,62.0,62.0,59.0,59.0,59.0,59.0,59.0,54.0,54.0,64.0,62.0,61.0,61.0,62.0,62.0,62.0,59.0,59.0,59.0,61.0,59.0,57.0,54.0,54.0,57.0,54.0,52.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,62.0,59.0,59.0,59.0,59.0,57.0,54.0,54.0,54.0,50.0,52.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,69.0,69.0,69.0,69.0,66.0,66.0,66.0,66.0,62.0,66.0,62.0,62.0,62.0,62.0,62.0,59.0,59.0,62.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
ojibwa20,18.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,60.0,60.0,60.0,60.0,60.0,57.0,57.0,57.0,62.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,52.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,52.0,52.0,52.0,57.0,57.0,57.0,57.0,52.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
ojibwa21,42.25,70.0,70.0,68.0,66.0,66.0,70.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,70.0,68.0,68.0,68.0,66.0,66.0,63.0,63.0,61.0,61.0,61.0,61.0,61.0,61.0,70.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,66.0,66.0,66.0,61.0,61.0,63.0,61.0,61.0,58.0,58.0,58.0,58.0,58.0,58.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,51.0,54.0,54.0,54.0,54.0,54.0,54.0,58.0,58.0,58.0,54.0,54.0,58.0,54.0,54.0,54.0,54.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
ojibwa22,33.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,57.0,57.0,57.0,57.0,57.0,57.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,57.0,52.0,52.0,57.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,49.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0,47.0,49.0,49.0,49.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
ojibwa23,44.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,59.0,59.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,59.0,59.0,60.0,59.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,62.0,62.0,62.0,59.0,59.0,59.0,59.0,55.0,55.0,55.0,55.0,55.0,52.0,52.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,50.0,50.0,50.0,50.0,50.0,50.0,47.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.0,47.0,43.0,43.0,43.0,43.0,43.0
ojibwa24,27.0,61.0,61.0,61.0,61.0,63.0,63.0,63.0,63.0,63.0,63.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,56.0,56.0,56.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,59.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,49.0,49.0,49.0,49.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,49.0,49.0,49.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,46.0,46.0,46.0,46.0
ojibwa25,20.25,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,64.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,64.0,62.0,62.0,62.0,62.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,57.0,57.0,57.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.0,52.0,50.0,50.0,50.0,50.0,52.0,50.0,50.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
ojibwa26,39.0,64.0,64.0,64.0,64.0,64.0,64.0,66.0,67.0,64.0,64.0,64.0,64.0,64.0,64.0,59.0,59.0,64.0,64.0,64.0,64.0,62.0,62.0,62.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,61.0,62.0,62.0,59.0,59.0,59.0,59.0,59.0,59.0,55.0,57.0,57.0,57.0,57.0,55.0,57.0,57.0,55.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,47.0,47.0,47.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,47.0,52.0,52.0,52.0,52.0,50.0,52.0,52.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
ojibwa27,40.0,62.0,62.0,62.0,62.0,62.0,60.0,60.0,60.0,57.0,57.0,57.0,57.0,57.0,62.0,62.0,62.0,62.0,62.0,60.0,60.0,57.0,57.0,57.0,57.0,57.0,60.0,62.0,62.0,60.0,60.0,57.0,57.0,57.0,52.0,52.0,50.0,50.0,50.0,48.0,45.0,48.0,48.0,48.0,50.0,50.0,50.0,50.0,50.0,48.0,48.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,60.0,60.0,60.0,60.0,60.0,57.0,57.0,57.0,52.0,52.0,50.0,50.0,50.0,48.0,48.0,48.0,48.0,48.0,50.0,50.0,50.0,50.0,50.0,48.0,48.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
ojibwa28,40.0,63.0,63.0,61.0,61.0,58.0,58.0,59.0,58.0,58.0,56.0,56.0,56.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,58.0,58.0,56.0,56.0,56.0,56.0,58.0,56.0,56.0,56.0,56.0,56.0,52.0,56.0,56.0,56.0,56.0,56.0,52.0,52.0,51.0,51.0,56.0,56.0,56.0,56.0,52.0,51.0,52.0,51.0,51.0,51.0,51.0,51.0,59.0,51.0,51.0,51.0,51.0,47.0,71.0,70.0,70.0,68.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,70.0,70.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
