,duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
han0235,24.0,72.0,72.0,72.0,72.0,64.0,67.0,67.0,67.0,67.0,72.0,72.0,76.0,74.0,72.0,72.0,72.0,72.0,72.0,72.0,76.0,76.0,74.0,74.0,72.0,72.0,72.0,72.0,72.0,64.0,67.0,67.0,67.0,67.0,74.0,74.0,74.0,72.0,72.0,74.0,74.0,72.0,72.0,69.0,67.0,69.0,72.0,67.0,67.0,67.0,67.0,67.0,67.0,72.0,72.0,72.0,72.0,64.0,64.0,64.0,64.0,64.0,62.0,60.0,60.0,60.0,60.0,67.0,67.0,67.0,64.0,64.0,62.0,62.0,64.0,64.0,67.0,67.0,64.0,64.0,67.0,67.0,67.0,67.0,67.0,67.0,72.0,72.0,72.0,72.0,64.0,64.0,64.0,64.0,64.0,62.0,60.0,60.0,60.0,60.0,60.0
han0221,50.0,69.0,69.0,69.0,71.0,74.0,76.0,76.0,76.0,76.0,71.0,74.0,74.0,71.0,69.0,69.0,69.0,76.0,71.0,71.0,71.0,74.0,74.0,74.0,74.0,71.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,71.0,74.0,76.0,76.0,76.0,76.0,71.0,74.0,74.0,71.0,69.0,69.0,69.0,76.0,71.0,71.0,71.0,74.0,74.0,74.0,74.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,74.0,74.0,76.0,76.0,76.0,76.0,71.0,74.0,74.0,69.0,69.0,69.0,71.0,76.0,71.0,71.0,71.0,74.0,74.0,74.0,74.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,71.0,71.0,71.0,71.0
han0547,22.0,72.0,72.0,72.0,72.0,74.0,76.0,76.0,76.0,76.0,74.0,74.0,74.0,72.0,72.0,69.0,69.0,69.0,69.0,72.0,72.0,72.0,72.0,74.0,76.0,76.0,76.0,76.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,76.0,76.0,72.0,72.0,72.0,72.0,72.0,69.0,69.0,74.0,74.0,72.0,72.0,72.0,72.0,72.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0,69.0,69.0,64.0,64.0,64.0,64.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,72.0,72.0,67.0,67.0,67.0,67.0,67.0,69.0,69.0,74.0,74.0,72.0,72.0,72.0,72.0,72.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0,69.0,69.0,64.0,64.0,64.0,64.0,64.0
han0209,38.0,65.0,65.0,67.0,62.0,62.0,62.0,65.0,77.0,74.0,74.0,74.0,72.0,72.0,72.0,69.0,67.0,72.0,65.0,65.0,62.0,62.0,65.0,65.0,62.0,62.0,72.0,72.0,69.0,67.0,62.0,67.0,67.0,65.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,65.0,74.0,74.0,74.0,74.0,72.0,67.0,67.0,62.0,62.0,67.0,67.0,65.0,62.0,62.0,62.0,62.0,62.0,65.0,62.0,62.0,62.0,65.0,77.0,77.0,74.0,74.0,72.0,72.0,72.0,69.0,67.0,69.0,69.0,65.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,65.0,69.0,69.0,69.0,69.0,65.0,65.0,62.0,62.0,65.0,67.0,62.0,62.0,62.0,62.0,62.0,62.0
han1117,40.0,76.0,76.0,73.0,76.0,73.0,71.0,71.0,71.0,71.0,73.0,78.0,80.0,76.0,80.0,76.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,73.0,78.0,76.0,78.0,78.0,78.0,76.0,73.0,71.0,71.0,71.0,73.0,71.0,71.0,71.0,71.0,71.0,71.0,76.0,73.0,73.0,76.0,73.0,71.0,71.0,71.0,71.0,73.0,78.0,76.0,76.0,76.0,73.0,76.0,73.0,71.0,71.0,71.0,76.0,73.0,76.0,76.0,73.0,71.0,71.0,71.0,71.0,73.0,80.0,76.0,78.0,80.0,76.0,78.0,78.0,78.0,78.0,78.0,78.0,76.0,78.0,76.0,73.0,78.0,78.0,76.0,73.0,73.0,71.0,71.0,73.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
han0347b,64.0,75.0,75.0,75.0,77.0,75.0,77.0,82.0,82.0,77.0,77.0,79.0,79.0,79.0,79.0,79.0,75.0,75.0,70.0,75.0,77.0,79.0,79.0,75.0,79.0,75.0,75.0,72.0,72.0,75.0,75.0,75.0,79.0,77.0,75.0,72.0,77.0,79.0,77.0,77.0,79.0,77.0,72.0,75.0,77.0,77.0,77.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,77.0,79.0,75.0,82.0,82.0,82.0,77.0,77.0,79.0,79.0,79.0,77.0,75.0,70.0,75.0,77.0,77.0,75.0,77.0,77.0,77.0,75.0,75.0,72.0,72.0,75.0,72.0,75.0,77.0,77.0,77.0,72.0,75.0,79.0,77.0,77.0,79.0,77.0,75.0,72.0,77.0,77.0,77.0,75.0,75.0,75.0,75.0
han1103,52.0,84.0,82.0,86.0,89.0,84.0,86.0,82.0,79.0,82.0,84.0,82.0,79.0,77.0,77.0,77.0,77.0,82.0,79.0,82.0,84.0,89.0,84.0,79.0,82.0,77.0,79.0,74.0,72.0,72.0,72.0,72.0,74.0,74.0,72.0,77.0,74.0,74.0,74.0,74.0,77.0,84.0,81.0,79.0,79.0,79.0,79.0,77.0,82.0,82.0,84.0,82.0,77.0,74.0,74.0,77.0,74.0,70.0,74.0,77.0,77.0,77.0,70.0,70.0,77.0,77.0,72.0,72.0,72.0,72.0,82.0,84.0,89.0,86.0,84.0,84.0,82.0,79.0,79.0,82.0,82.0,79.0,79.0,74.0,74.0,84.0,86.0,86.0,84.0,86.0,82.0,82.0,84.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0
han0590,16.0,72.0,72.0,72.0,72.0,69.0,69.0,69.0,69.0,69.0,69.0,77.0,77.0,77.0,74.0,74.0,74.0,74.0,74.0,72.0,69.0,69.0,69.0,69.0,69.0,69.0,72.0,72.0,72.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,77.0,77.0,77.0,74.0,74.0,74.0,74.0,72.0,72.0,69.0,69.0,69.0,65.0,65.0,65.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,65.0,65.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,65.0,65.0,65.0,67.0,67.0,67.0,65.0,65.0,65.0,69.0,69.0,69.0,69.0,69.0,69.0,67.0,67.0,67.0,67.0,67.0,65.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
han0584,49.0,74.0,74.0,79.0,74.0,74.0,76.0,74.0,69.0,69.0,74.0,79.0,76.0,74.0,76.0,74.0,69.0,69.0,74.0,74.0,73.0,74.0,76.0,74.0,73.0,74.0,76.0,73.0,74.0,74.0,74.0,74.0,74.0,71.0,74.0,79.0,74.0,71.0,69.0,69.0,69.0,69.0,67.0,67.0,67.0,64.0,74.0,76.0,74.0,71.0,69.0,69.0,67.0,64.0,69.0,69.0,69.0,69.0,71.0,71.0,71.0,71.0,71.0,74.0,69.0,69.0,67.0,67.0,62.0,62.0,67.0,67.0,67.0,71.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,66.0,66.0,62.0,64.0,64.0,66.0,64.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
han0427,73.0,77.0,77.0,77.0,77.0,77.0,70.0,75.0,77.0,77.0,77.0,77.0,75.0,75.0,72.0,75.0,72.0,72.0,72.0,77.0,72.0,72.0,75.0,72.0,72.0,70.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,75.0,75.0,77.0,77.0,72.0,70.0,77.0,77.0,75.0,75.0,72.0,70.0,75.0,77.0,77.0,72.0,77.0,77.0,77.0,70.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,72.0,72.0,75.0,77.0,77.0,77.0,75.0,77.0,75.0,70.0,70.0,70.0,75.0,77.0,77.0,72.0,77.0,75.0,75.0,70.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,75.0,75.0,75.0,72.0,72.0,72.0,70.0,70.0,65.0,65.0,65.0,65.0,65.0
