,duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
sioux001,47.25,62.0,62.0,62.0,62.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,58.0,55.0,55.0,55.0,55.0,55.0,53.0,53.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,53.0,53.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,53.0,53.0,50.0,50.0,50.0,50.0,50.0,50.0,57.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,58.0,55.0,55.0,55.0,55.0,55.0,53.0,53.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,53.0,53.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,53.0,53.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
sioux002,40.0,60.0,60.0,60.0,55.0,55.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,58.0,58.0,58.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0,53.0,53.0,51.0,51.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,55.0,55.0,55.0,55.0,55.0,51.0,51.0,48.0,48.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,53.0,51.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
sioux003,21.0,60.0,60.0,60.0,60.0,60.0,60.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0,53.0,51.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,48.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,55.0,55.0,55.0,55.0,51.0,51.0,51.0,48.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
sioux004,34.25,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,59.0,59.0,59.0,59.0,63.0,63.0,63.0,59.0,59.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,63.0,59.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,59.0,58.0,54.0,54.0,54.0,53.0,53.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,46.0,46.0,46.0,53.0,53.0,53.0,53.0,53.0,53.0,51.0,51.0,51.0,51.0,51.0,53.0,53.0,51.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
sioux005,77.0,66.0,66.0,66.0,66.0,64.0,64.0,62.0,59.0,62.0,62.0,62.0,66.0,64.0,62.0,62.0,59.0,59.0,59.0,59.0,59.0,62.0,59.0,59.0,59.0,59.0,59.0,62.0,62.0,62.0,66.0,64.0,62.0,62.0,59.0,59.0,54.0,59.0,59.0,54.0,52.0,50.0,50.0,47.0,47.0,50.0,50.0,50.0,54.0,52.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,59.0,59.0,62.0,62.0,62.0,66.0,66.0,64.0,62.0,62.0,59.0,59.0,54.0,54.0,54.0,52.0,54.0,54.0,54.0,59.0,59.0,54.0,52.0,50.0,50.0,47.0,50.0,50.0,54.0,54.0,52.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0
sioux006,52.0,67.0,67.0,67.0,65.0,67.0,67.0,67.0,67.0,63.0,63.0,63.0,63.0,63.0,63.0,60.0,60.0,63.0,63.0,63.0,63.0,63.0,63.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,63.0,59.0,60.0,60.0,60.0,55.0,55.0,55.0,63.0,63.0,63.0,63.0,63.0,63.0,60.0,60.0,60.0,60.0,60.0,58.0,55.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,58.0,55.0,55.0,55.0,55.0,55.0,53.0,51.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,51.0,51.0,51.0,51.0,51.0,51.0,48.0,51.0,51.0,51.0,48.0,51.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
sioux007,58.5,66.0,66.0,64.0,64.0,59.0,64.0,64.0,59.0,59.0,59.0,59.0,59.0,66.0,66.0,64.0,64.0,59.0,64.0,64.0,59.0,59.0,59.0,55.0,59.0,59.0,59.0,57.0,57.0,55.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0,54.0,52.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,59.0,59.0,66.0,66.0,64.0,64.0,64.0,64.0,64.0,59.0,59.0,59.0,57.0,55.0,59.0,59.0,57.0,59.0,57.0,55.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0,52.0,52.0,47.0,54.0,54.0,52.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
sioux008,34.0,64.0,64.0,64.0,67.0,67.0,67.0,64.0,64.0,64.0,67.0,67.0,67.0,64.0,64.0,64.0,64.0,64.0,64.0,62.0,62.0,64.0,60.0,60.0,60.0,57.0,57.0,60.0,60.0,60.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,60.0,60.0,60.0,57.0,57.0,57.0,55.0,55.0,55.0,52.0,52.0,55.0,55.0,55.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,57.0,57.0,60.0,57.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,55.0,55.0,55.0,55.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
sioux009,27.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,60.0,60.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,60.0,56.0,56.0,56.0,56.0,56.0,56.0,63.0,63.0,63.0,63.0,60.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,60.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,54.0,54.0,51.0,56.0,56.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,54.0,54.0,54.0,51.0,51.0,56.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
sioux010,24.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,59.0,59.0,59.0,59.0,59.0,64.0,64.0,64.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,64.0,64.0,64.0,64.0,64.0,64.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,57.0,57.0,56.0,56.0,61.0,61.0,61.0,61.0,59.0,59.0,56.0,56.0,61.0,61.0,61.0,61.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
