,duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
pueblo11,57.0,60.0,58.0,58.0,58.0,58.0,58.0,58.0,60.0,58.0,58.0,58.0,55.0,58.0,58.0,67.0,70.0,70.0,72.0,70.0,67.0,63.0,58.0,58.0,58.0,58.0,60.0,58.0,58.0,58.0,58.0,58.0,58.0,67.0,70.0,72.0,70.0,67.0,63.0,63.0,58.0,58.0,58.0,60.0,58.0,58.0,58.0,58.0,55.0,55.0,65.0,65.0,65.0,65.0,65.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,55.0,65.0,65.0,65.0,65.0,65.0,65.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,55.0,58.0,58.0,58.0,63.0,63.0,63.0,58.0,58.0,58.0,58.0,55.0,63.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
pueblo12,40.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,60.0,58.0,58.0,58.0,58.0,70.0,70.0,70.0,70.0,70.0,70.0,63.0,63.0,63.0,60.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,60.0,60.0,60.0,58.0,58.0,58.0,58.0,63.0,63.0,60.0,58.0,58.0,58.0,58.0,60.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,60.0,58.0,58.0
pueblo13,71.0,62.0,62.0,62.0,57.0,62.0,57.0,57.0,62.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,57.0,64.0,64.0,64.0,64.0,64.0,66.0,69.0,67.0,66.0,64.0,64.0,59.0,59.0,64.0,64.0,62.0,59.0,59.0,62.0,57.0,57.0,57.0,62.0,59.0,59.0,62.0,59.0,57.0,57.0,59.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,64.0,64.0,64.0,66.0,57.0,57.0,57.0,57.0,62.0,62.0,62.0,62.0,62.0,59.0,57.0,59.0,59.0,57.0,59.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,62.0,62.0,62.0,62.0,59.0,57.0,59.0,57.0,57.0,57.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
pueblo14,65.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,66.0,71.0,66.0,66.0,66.0,59.0,59.0,56.0,54.0,56.0,59.0,59.0,56.0,56.0,56.0,56.0,56.0,56.0,59.0,63.0,59.0,56.0,63.0,63.0,59.0,63.0,59.0,56.0,56.0,56.0,59.0,63.0,59.0,56.0,63.0,63.0,59.0,63.0,59.0,56.0,56.0,56.0,59.0,56.0,56.0,59.0,59.0,56.0,56.0,59.0,59.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,63.0,59.0,59.0,56.0,56.0,63.0,59.0,56.0,56.0,63.0,59.0,59.0,56.0,56.0,63.0,63.0,59.0,56.0,56.0,56.0,56.0,59.0,56.0,63.0,59.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
pueblo15,42.5,60.0,57.0,57.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,67.0,67.0,67.0,69.0,65.0,65.0,65.0,62.0,62.0,62.0,62.0,62.0,60.0,57.0,55.0,55.0,62.0,62.0,65.0,65.0,62.0,65.0,60.0,57.0,57.0,60.0,55.0,55.0,55.0,55.0,64.0,64.0,64.0,60.0,57.0,60.0,60.0,55.0,55.0,55.0,62.0,59.0,59.0,59.0,57.0,55.0,55.0,59.0,59.0,59.0,59.0,57.0,55.0,55.0,62.0,59.0,59.0,59.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,59.0,57.0,57.0
pueblo16,48.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,57.0,59.0,57.0,64.0,64.0,64.0,64.0,64.0,62.0,57.0,57.0,57.0,59.0,57.0,57.0,59.0,57.0,66.0,66.0,66.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,59.0,57.0,57.0,64.0,64.0,64.0,64.0,64.0,59.0,57.0,57.0,62.0,59.0,62.0,59.0,57.0,57.0,62.0,62.0,62.0,62.0,62.0,57.0,57.0,57.0,55.0,55.0,55.0,57.0,57.0,57.0,62.0,57.0,57.0,55.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
pueblo17,91.5,57.0,52.0,52.0,52.0,52.0,52.0,52.0,64.0,64.0,57.0,64.0,64.0,64.0,59.0,59.0,54.0,52.0,59.0,57.0,57.0,52.0,52.0,64.0,64.0,59.0,64.0,57.0,57.0,64.0,64.0,64.0,59.0,59.0,57.0,59.0,57.0,52.0,52.0,59.0,57.0,57.0,52.0,52.0,57.0,52.0,52.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,64.0,68.0,66.0,66.0,64.0,59.0,57.0,57.0,52.0,57.0,57.0,52.0,57.0,57.0,52.0,59.0,57.0,57.0,59.0,57.0,57.0,52.0,52.0,59.0,57.0,52.0,57.0,57.0,52.0,52.0,49.0,52.0,52.0,64.0,52.0,52.0,57.0,57.0,52.0,52.0,52.0,54.0,52.0,52.0,52.0
pueblo18,69.0,55.0,55.0,65.0,65.0,63.0,58.0,58.0,58.0,58.0,58.0,58.0,63.0,58.0,58.0,55.0,55.0,51.0,51.0,55.0,58.0,58.0,62.0,55.0,55.0,55.0,55.0,58.0,55.0,57.0,55.0,55.0,58.0,58.0,58.0,55.0,55.0,55.0,55.0,51.0,51.0,51.0,55.0,58.0,58.0,62.0,55.0,55.0,55.0,51.0,58.0,55.0,58.0,58.0,62.0,55.0,55.0,51.0,51.0,58.0,58.0,58.0,62.0,58.0,55.0,55.0,51.0,58.0,55.0,58.0,58.0,62.0,55.0,55.0,55.0,51.0,58.0,55.0,58.0,58.0,58.0,55.0,55.0,55.0,55.0,58.0,58.0,57.0,55.0,58.0,58.0,56.0,55.0,55.0,55.0,55.0,51.0,51.0,51.0,51.0,51.0
pueblo19,144.0,56.0,53.0,53.0,53.0,53.0,53.0,61.0,65.0,60.0,61.0,58.0,53.0,53.0,53.0,58.0,53.0,53.0,49.0,54.0,53.0,53.0,53.0,54.0,53.0,53.0,49.0,53.0,58.0,53.0,53.0,53.0,53.0,53.0,53.0,58.0,58.0,53.0,53.0,53.0,49.0,54.0,53.0,53.0,49.0,58.0,58.0,53.0,53.0,53.0,53.0,53.0,58.0,53.0,53.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,61.0,61.0,65.0,69.0,69.0,67.0,67.0,65.0,62.0,58.0,58.0,58.0,58.0,58.0,53.0,53.0,53.0,55.0,53.0,53.0,50.0,58.0,53.0,53.0,53.0,53.0,53.0,53.0,58.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,62.0
pueblo20,36.25,62.0,62.0,62.0,62.0,64.0,62.0,62.0,62.0,62.0,64.0,62.0,62.0,62.0,60.0,60.0,62.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,57.0,60.0,60.0,59.0,57.0,54.0,54.0,54.0,57.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,52.0,52.0,50.0,50.0,50.0,50.0,55.0,55.0,55.0,55.0,55.0,59.0,59.0,57.0,57.0,57.0,57.0,62.0,60.0,60.0,62.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,60.0,59.0,59.0,57.0,54.0,54.0,54.0,57.0,57.0,57.0,55.0,55.0,55.0,55.0,55.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,60.0,62.0,62.0,62.0,52.0,50.0,50.0,50.0,50.0,50.0
