,duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
pawnee12,36.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,62.0,62.0,60.0,60.0,60.0,60.0,60.0,64.0,64.0,62.0,64.0,62.0,62.0,60.0,60.0,62.0,62.0,60.0,57.0,57.0,57.0,57.0,57.0,64.0,60.0,60.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,55.0,57.0,57.0,59.0,59.0,57.0,57.0,57.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,62.0,60.0,60.0,60.0,60.0,60.0,64.0,60.0,60.0,60.0,57.0,57.0,60.0,60.0,60.0,57.0,57.0,57.0,57.0,57.0,64.0,60.0,60.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
pawnee13,39.5,64.0,64.0,64.0,64.0,64.0,64.0,62.0,59.0,64.0,64.0,64.0,62.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,64.0,64.0,64.0,64.0,64.0,62.0,59.0,59.0,64.0,64.0,62.0,62.0,59.0,59.0,59.0,62.0,59.0,59.0,59.0,54.0,62.0,59.0,59.0,59.0,54.0,54.0,54.0,54.0,54.0,54.0,52.0,59.0,59.0,59.0,54.0,54.0,52.0,52.0,52.0,52.0,52.0,50.0,50.0,50.0,52.0,52.0,50.0,50.0,50.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,59.0,59.0,59.0,59.0,59.0,62.0,62.0,59.0,59.0,59.0,64.0,62.0,64.0,64.0,64.0,62.0,59.0,59.0
pawnee14,54.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,62.0,60.0,60.0,60.0,60.0,60.0,64.0,62.0,64.0,62.0,60.0,60.0,60.0,62.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,57.0,57.0,57.0,62.0,62.0,62.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,64.0,64.0,62.0,62.0,64.0,62.0,62.0,64.0,64.0,62.0,60.0,60.0,60.0,62.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,57.0,57.0,57.0,62.0,62.0,62.0,60.0,57.0,57.0,57.0,57.0,60.0,60.0,57.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
pawnee15,44.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,60.0,60.0,64.0,64.0,64.0,60.0,60.0,60.0,60.0,60.0,64.0,64.0,60.0,60.0,60.0,64.0,64.0,60.0,60.0,57.0,57.0,57.0,57.0,60.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,64.0,64.0,64.0,64.0,64.0,64.0,60.0,60.0,64.0,60.0,60.0,60.0,57.0,57.0,57.0,60.0,60.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
pawnee16,97.0,60.0,63.0,63.0,63.0,63.0,63.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,63.0,60.0,60.0,60.0,61.0,63.0,63.0,63.0,60.0,56.0,56.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,56.0,51.0,60.0,51.0,51.0,51.0,51.0,48.0,48.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,63.0,63.0,60.0,60.0,60.0,61.0,63.0,63.0,63.0,60.0,56.0,56.0,51.0,51.0,51.0,51.0,63.0,51.0,51.0,51.0,51.0,56.0,51.0,60.0,51.0,51.0,51.0,51.0,48.0,48.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
pawnee17,54.0,65.0,65.0,65.0,64.0,64.0,64.0,64.0,64.0,64.0,53.0,53.0,53.0,53.0,64.0,64.0,64.0,53.0,65.0,65.0,64.0,64.0,64.0,64.0,64.0,64.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,55.0,55.0,55.0,53.0,53.0,53.0,53.0,53.0,50.0,53.0,53.0,55.0,55.0,53.0,53.0,55.0,53.0,53.0,55.0,53.0,55.0,53.0,53.0,53.0,65.0,65.0,62.0,65.0,65.0,65.0,65.0,62.0,53.0,53.0,53.0,53.0,55.0,53.0,55.0,53.0,53.0,55.0,55.0,53.0,53.0,53.0,53.0,53.0,50.0,53.0,53.0,53.0,53.0,53.0,53.0,55.0,53.0,53.0,55.0,53.0,55.0,53.0,53.0,53.0,53.0
pawnee18,47.0,63.0,63.0,63.0,63.0,63.0,64.0,63.0,63.0,61.0,61.0,61.0,63.0,63.0,63.0,61.0,61.0,61.0,63.0,63.0,64.0,64.0,63.0,63.0,61.0,61.0,61.0,63.0,63.0,63.0,61.0,63.0,56.0,56.0,56.0,57.0,57.0,57.0,56.0,56.0,51.0,51.0,51.0,51.0,52.0,51.0,49.0,49.0,49.0,49.0,51.0,51.0,49.0,49.0,49.0,49.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,63.0,63.0,61.0,61.0,61.0,63.0,63.0,63.0,61.0,63.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,56.0,56.0,51.0,51.0,51.0,52.0,51.0,49.0,49.0,49.0,49.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0
pawnee19,40.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,62.0,62.0,62.0,62.0,62.0,64.0,62.0,62.0,62.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,62.0,62.0,62.0,64.0,62.0,62.0,64.0,64.0,52.0,52.0,52.0,52.0,52.0,60.0,52.0,52.0,52.0,52.0,52.0,52.0,60.0,52.0,52.0,52.0,52.0,48.0,48.0,64.0,62.0,62.0,62.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,62.0,62.0,62.0,64.0,62.0,62.0,64.0,64.0,52.0,52.0,52.0,52.0,52.0,60.0,52.0,52.0,52.0,52.0,52.0,52.0,60.0,52.0,52.0,52.0,52.0,48.0,48.0,48.0
pawnee20,50.0,64.0,64.0,64.0,64.0,60.0,60.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,60.0,60.0,57.0,57.0,57.0,57.0,64.0,64.0,64.0,64.0,57.0,57.0,64.0,64.0,64.0,64.0,64.0,64.0,60.0,60.0,64.0,64.0,64.0,64.0,64.0,60.0,64.0,64.0,60.0,60.0,57.0,57.0,64.0,60.0,60.0,60.0,57.0,57.0,57.0,57.0,55.0,55.0,52.0,52.0,55.0,55.0,55.0,55.0,57.0,55.0,57.0,57.0,55.0,55.0,52.0,52.0,55.0,55.0,55.0,55.0,52.0,52.0,52.0,52.0,52.0,52.0,48.0,48.0,52.0,52.0,52.0,52.0,50.0,50.0,50.0,50.0,48.0,48.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
pawnee21,42.0,63.0,63.0,63.0,63.0,61.0,63.0,63.0,63.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,63.0,63.0,63.0,61.0,63.0,63.0,63.0,56.0,56.0,56.0,54.0,56.0,56.0,56.0,54.0,54.0,52.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,54.0,54.0,56.0,56.0,56.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,56.0,56.0,54.0,54.0,54.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
